"word","translation","transcription","level","lang"
"объяснять","解释","obyasnyat","A1","ru"
"овощ","蔬菜","ovoshch","A1","ru"
"огурец","黄瓜","ogurets","A1","ru"
"одеваться","穿衣服","odevat sya","A1","ru"
"одежда","衣服","odezhda","A1","ru"
"одеяло","被子","odeyalo","A1","ru"
"один","一","odin","A1","ru"
"одиннадцать","十一","odinnadtsat","A1","ru"
"означать","意味着","oznachat","A1","ru"
"окно","窗户","okno","A1","ru"
"октябрь","十月","oktyabr","A1","ru"
"олимпиада","奥运会","olimpiada","A1","ru"
"он","他","on","A1","ru"
"она","她","ona","A1","ru"
"они","他们","oni","A1","ru"
"оно","它","ono","A1","ru"
"опасный","危险的","opasnyy","A1","ru"
"опять","又","opyat","A1","ru"
"оранжевый","橙色","oranzhevy","A1","ru"
"орех","坚果","orekh","A1","ru"
"осень","秋天","osen","A1","ru"
"остановка","站","ostanovka","A1","ru"
"осторожно","小心","ostorozhno","A1","ru"
"от","从","ot","A1","ru"
"ответ","答案","otvet","A1","ru"
"отвечать","回答","otvechat","A1","ru"
"отдыхать","休息","otdykhat","A1","ru"
"отец","父亲","otets","A1","ru"
"открывать","打开","otkryvat","A1","ru"
"открытка","明信片","otkrytka","A1","ru"
"открыто","开放","otkryto","A1","ru"
"откуда","从哪里","otkuda","A1","ru"
"отправитель","发件人","otpravitel","A1","ru"
"очень","很","ochen","A1","ru"
"очки","眼镜","ochki","A1","ru"
"ошибаться","犯错","oshibat sya","A1","ru"
"ошибка","错误","oshibka","A1","ru"
"падать","掉落","padat","A1","ru"
"падеж","格","padeg","A1","ru"
"палец","手指","palets","A1","ru"
"пальто","大衣","palto","A1","ru"
"папа","爸爸","papa","A1","ru"
"паспорт","护照","pasport","A1","ru"
"пассажир","乘客","passazhir","A1","ru"
"певец","歌手","pevets","A1","ru"
"певица","女歌手","pevitsa","A1","ru"
"пепси-кола","百事可乐","pepsi-kola","A1","ru"
"перевести","翻译","perevesti","A1","ru"
"перевод","翻译","perevod","A1","ru"
"переводить","翻译","perevodit","A1","ru"
"переводчик","翻译员","perevodchik","A1","ru"
"перемена","休息","peremena","A1","ru"
"перерыв","休息","pereryv","A1","ru"
"переулок","小巷","pereulok","A1","ru"
"переход","过马路","perekhod","A1","ru"
"переходить","过马路","perekhodit","A1","ru"
"перец","胡椒","perec","A1","ru"
"перчатка","手套","perchatka","A1","ru"
"песня","歌曲","pesnya","A1","ru"
"Петербург","彼得堡","Peterburg","A1","ru"
"петь","唱歌","pet","A1","ru"
"печь","烤","pech","A1","ru"
"пешеход","行人","peskhod","A1","ru"
"пешеходный","行人的","peskhodnyy","A1","ru"
"пиво","啤酒","pivo","A1","ru"
"пиджак","西装","pidzhak","A1","ru"
"пижама","睡衣","pizhama","A1","ru"
"пирог","馅饼","pirog","A1","ru"
"пирожное","糕点","pirozhnoye","A1","ru"
"пирожок","包子","pirozhok","A1","ru"
"писать","写","pisat","A1","ru"
"письмо","信","pismo","A1","ru"
"пить","喝","pit","A1","ru"
"пицца","披萨","pitsa","A1","ru"
"плавать","游泳","plavat","A1","ru"
"платье","连衣裙","platye","A1","ru"
"плита","炉子","plita","A1","ru"
"плохо","坏","plokhó","A1","ru"
"плохой","坏的","plokhoy","A1","ru"
"площадь","广场","ploschad","A1","ru"
"по телефону","打电话","po telefonu","A1","ru"
"победа","胜利","pobeda","A1","ru"
"повторять","重复","povtorat","A1","ru"
"погода","天气","pogoda","A1","ru"
"подарок","礼物","podarok","A1","ru"
"подземный переход","地下通道","podzemnyy perekhod","A1","ru"
"подписывать","签名","podpisyvat","A1","ru"
"подпись","签名","podpis","A1","ru"
"подруга","女朋友","podruga","A1","ru"
"подушка","枕头","podushka","A1","ru"
"поесть","吃","poest","A1","ru"
"пожалуйста","请","pozhaluysta","A1","ru"
"пожар","火灾","pozhár","A1","ru"
"пожарный","消防员","pozharnyy","A1","ru"
"пожилой","年老的","pozhiloy","A1","ru"
"позвонить","打电话","pozvonit","A1","ru"
"поздравлять","祝贺","pozdravlyat","A1","ru"
"пойти","去","poiti","A1","ru"
"пока","再见","poka","A1","ru"
"покупать","买","pokupat","A1","ru"
"покупка","购买","pokupka","A1","ru"
"пол","地板","pol","A1","ru"
"полгода","半年","polgoda","A1","ru"
"полицейский","警察","politseskiy","A1","ru"
"полиция","警察","politsiya","A1","ru"
"полка","架子","polka","A1","ru"
"полкило","半公斤","polkilo","A1","ru"
"положить","放","polozhit","A1","ru"
"полотенце","毛巾","polotents","A1","ru"
"получать","得到","poluchat","A1","ru"
"полчаса","半小时","polchasa","A1","ru"
"полька","波兰女人","polka","A1","ru"
"польский","波兰语","polskiy","A1","ru"
"поляк","波兰人","polyak","A1","ru"
"помидор","西红柿","pomidor","A1","ru"
"помнить","记住","pomnit","A1","ru"
"помогать","帮助","pomogat","A1","ru"
"понедельник","星期一","ponedelnik","A1","ru"
"понимать","理解","ponimat","A1","ru"
"понравиться","喜欢","ponravit sya","A1","ru"
"понятно","明白","ponyatno","A1","ru"
"понятный","明白的","ponyatnyy","A1","ru"
"посол","大使","posol","A1","ru"
"посторонний","外人","postoronnii","A1","ru"
"посуда","餐具","posuda","A1","ru"
"почему","为什么","pochemu","A1","ru"
"почта","邮局","pochta","A1","ru"
"почтовый индекс","邮编","pochtovyy indeks","A1","ru"
"правильно","正确","pravilno","A1","ru"
"правильный","正确的","pravilnyy","A1","ru"
"правый","右","pravyy","A1","ru"
"праздник","节日","prazdnik","A1","ru"
"предлог","介词","predlog","A1","ru"
"предложение","句子","predlozheniye","A1","ru"
"прекрасно","很好","prekrasno","A1","ru"
"преподаватель","老师","prepodavatel","A1","ru"
"привет","你好","privet","A1","ru"
"приглашать","邀请","priglashat","A1","ru"
"приносить","带来","prinosit","A1","ru"
"приходить","来","prikhodit","A1","ru"
"приятно","愉快","priyatno","A1","ru"
"проблема","问题","problema","A1","ru"
"продавец","售货员","prodavets","A1","ru"
"продавщица","女售货员","prodavshitsa","A1","ru"
"произносить","发音","proiznosit","A1","ru"
"прокладка","卫生巾","prokladka","A1","ru"
"просить","请求","prosit","A1","ru"
"проспект","大街","prospekt","A1","ru"
"просто","简单","prosto","A1","ru"
"простой","简单的","prostoy","A1","ru"
"проход","通道","prokhod","A1","ru"
"прочитать","读","prochitat","A1","ru"
"прошедшее время","过去时","proshedsheye vremya","A1","ru"
"прошедший","过去的","proshedshiy","A1","ru"
"прошлое","过去","proshloye","A1","ru"
"прошлый","以前的","proshlyy","A1","ru"
"пульт","遥控器","pult","A1","ru"
"пятнадцать","十五","pyatnadtsat","A1","ru"
"пятница","星期五","pyatnitsa","A1","ru"
"пять","五","pyat","A1","ru"
"пятьдесят","五十","pyatdesyat","A1","ru"
"пятьсот","五百","pyatsot","A1","ru"
"работа","工作","rabota","A1","ru"
"работать","工作","rabotat","A1","ru"
"раз","次","raz","A1","ru"
"разведенный","离婚的","razvedyonnyy","A1","ru"
"раздеваться","脱衣服","razdevat sya","A1","ru"
"раковина","洗手池","rakóvina","A1","ru"
"рассказывать","讲","rasskazyvat","A1","ru"
"растительный","植物的","rastitelnyy","A1","ru"
"ребенок","孩子","rebenok","A1","ru"
"ребята","孩子们","rebyata","A1","ru"
"регистрация","注册","registratsiya","A1","ru"
"республика","共和国","respublika","A1","ru"
"рис","米饭","ris","A1","ru"
"рисунок","图画","risunok","A1","ru"
"род","种类","rod","A1","ru"
"родина","祖国","rodina","A1","ru"
"родитель","父母","roditel","A1","ru"
"родиться","出生","roditsya","A1","ru"
"рождение","出生","rozhdeniye","A1","ru"
"розовый","粉色","rozovyy","A1","ru"
"российский","俄罗斯的","rossiyskiy","A1","ru"
"Россия","俄罗斯","Rossiya","A1","ru"
"рот","嘴","rot","A1","ru"
"рубашка","衬衫","rubashka","A1","ru"
"рубль","卢布","rubl","A1","ru"
"рука","手","ruka","A1","ru"
"русский","俄语","russkiy","A1","ru"
"русский язык","俄语","russkiy yazyk","A1","ru"
"ручка","笔","ruchka","A1","ru"
"рыба","鱼","ryba","A1","ru"
"рынок","市场","rynok","A1","ru"
"салат","沙拉","salat","A1","ru"
"самолет","飞机","samolyot","A1","ru"
"сантиметр","厘米","santimetr","A1","ru"
"сапог","靴子","sapog","A1","ru"
"сахар","糖","sakhar","A1","ru"
"свет","光","svet","A1","ru"
"светло","亮","svetlo","A1","ru"
"светлый","亮的","svetlyy","A1","ru"
"светофор","红绿灯","svetofor","A1","ru"
"свинина","猪肉","svinina","A1","ru"
"свитер","毛衣","sviter","A1","ru"
"сдача","找零","sdacha","A1","ru"
"сделать","做","sdelat","A1","ru"
"себе","自己","sebe","A1","ru"
"себя","自己","sebya","A1","ru"
"север","北","sever","A1","ru"
"сегодня","今天","sevodnya","A1","ru"
"сейчас","现在","seychas","A1","ru"
"секунда","秒","sekunda","A1","ru"
"семнадцать","十七","semnadtsat","A1","ru"
"семь","七","sem","A1","ru"
"семьдесят","七十","semidesyat","A1","ru"
"семьсот","七百","semsot","A1","ru"
"семья","家庭","sem ya","A1","ru"
"сентябрь","九月","sentyabr","A1","ru"
"сердце","心","serdtse","A1","ru"
"серый","灰色","seryy","A1","ru"
"сестра","姐妹","sestra","A1","ru"
"сесть","坐","sest","A1","ru"
"сигарета","香烟","sigareta","A1","ru"
"сидеть","坐","sidet","A1","ru"
"синий","蓝色","siniy","A1","ru"
"сказать","说","skazat","A1","ru"
"сколько","多少","skolko","A1","ru"
"скорая помощь","急救车","skoraya pomoshch","A1","ru"
"скоро","快","skoro","A1","ru"
"сладкий","甜的","sladkiy","A1","ru"
"следующий","下一个","sleduyushchiy","A1","ru"
"сливки","奶油","slivki","A1","ru"
"словарь","词典","slovar","A1","ru"
"слово","词","slovo","A1","ru"
"слог","音节","slog","A1","ru"
"сложно","难","slozhno","A1","ru"
"сложный","难的","slozhnyy","A1","ru"
"слушать","听","slushat","A1","ru"
"сметана","酸奶油","smetana","A1","ru"
"смотреть","看","smotret","A1","ru"
"снег","雪","sneg","A1","ru"
"снимать","租","snimat","A1","ru"
"со","和","so","A1","ru"
"собака","狗","sobaka","A1","ru"
"согласный","辅音","soglasnyy","A1","ru"
"сок","果汁","sok","A1","ru"
"соленый","咸的","solényy","A1","ru"
"солнце","太阳","solntse","A1","ru"
"соль","盐","sol","A1","ru"
"сон","睡眠","son","A1","ru"
"сорок","四十","sorok","A1","ru"
"сосед","邻居","sosed","A1","ru"
"соседка","女邻居","sosedka","A1","ru"
"сосиска","香肠","sosiska","A1","ru"
"сотовый","手机","sotovyy","A1","ru"
"сотовый телефон","手机","sotovyy telefon","A1","ru"
"спасибо","谢谢","spasibo","A1","ru"
"спать","睡觉","spat","A1","ru"
"спина","背","spina","A1","ru"
"спичка","火柴","spichka","A1","ru"
"спорт","体育","sport","A1","ru"
"спортивный","体育的","sportivnyy","A1","ru"
"спортсмен","运动员","sportsmen","A1","ru"
"спрашивать","问","sprashivat","A1","ru"
"среда","星期三","sreda","A1","ru"
"ставить","放","stavit","A1","ru"
"стакан","杯子","stakan","A1","ru"
"станция","站","stantsiya","A1","ru"
"старый","老的","staryy","A1","ru"
"сто","一百","sto","A1","ru"
"стоить","值","stoit","A1","ru"
"стол","桌子","stol","A1","ru"
"столица","首都","stolitsa","A1","ru"
"столовая","餐厅","stolovaya","A1","ru"
"столько","那么多","stolko","A1","ru"
"стоп","停止","stop","A1","ru"
"стоять","站","stat","A1","ru"
"страна","国家","strana","A1","ru"
"страница","页","stranitsa","A1","ru"
"студент","学生","student","A1","ru"
"студентка","女学生","studentka","A1","ru"
"стул","椅子","stul","A1","ru"
"суббота","星期六","subbota","A1","ru"
"субъект","主语","subyekt","A1","ru"
"сумка","包","sumka","A1","ru"
"суп","汤","sup","A1","ru"
"супермаркет","超市","supermarket","A1","ru"
"счет","账单","schet","A1","ru"
"США","美国","SSHA","A1","ru"
"сын","儿子","syn","A1","ru"
"сыр","奶酪","syr","A1","ru"
"сюда","这里","syuda","A1","ru"
"та","那个","ta","A1","ru"
"так","这样","tak","A1","ru"
"такой","这样的","takoy","A1","ru"
"такси","出租车","taksi","A1","ru"
"там","那里","tam","A1","ru"
"танцевать","跳舞","tantsevat","A1","ru"
"тарелка","盘子","tarelka","A1","ru"
"твердый","硬的","tverdyy","A1","ru"
"твой","你的","tvoi","A1","ru"
"те","那些","te","A1","ru"
"тебе","你","tebe","A1","ru"
"текст","文本","tekst","A1","ru"
"телевизор","电视","televizor","A1","ru"
"телефон","电话","telefon","A1","ru"
"темно","暗","temno","A1","ru"
"темный","暗的","temnyy","A1","ru"
"теннис","网球","tennis","A1","ru"
"тепло","暖和","teplo","A1","ru"
"теплый","暖和的","teplyy","A1","ru"
"тест","测试","test","A1","ru"
"тетрадь","笔记本","tetrad","A1","ru"
"тихо","安静","tikho","A1","ru"
"то","那个","to","A1","ru"
"только","只","tolko","A1","ru"
"торт","蛋糕","tort","A1","ru"
"тост","吐司","tost","A1","ru"
"тот","那个","tot","A1","ru"
"точка","点","tochka","A1","ru"
"трамвай","电车","tramvay","A1","ru"
"транскрипция","音标","transkriptsiya","A1","ru"
"транспорт","交通","transport","A1","ru"
"три","三","tri","A1","ru"
"тридцать","三十","tridtsat","A1","ru"
"тринадцать","十三","trinadtsat","A1","ru"
"триста","三百","trista","A1","ru"
"троллейбус","无轨电车","trolleybus","A1","ru"
"тротуар","人行道","trotuar","A1","ru"
"трудно","难","trudno","A1","ru"
"трудный","难的","trudnyy","A1","ru"
"трусы","内裤","trusy","A1","ru"
"ту","那个","tu","A1","ru"
"туалет","厕所","tualet","A1","ru"
"турист","游客","turist","A1","ru"
"тут","这里","tut","A1","ru"
"туфли","鞋","tufli","A1","ru"
"ты","你","ty","A1","ru"
"тысяча","千","tysyacha","A1","ru"
"тяжело","重","tyazhelo","A1","ru"
"тяжелый","重的","tyazhelyy","A1","ru"
"у","在","u","A1","ru"
"ударение","重音","udarenie","A1","ru"
"уехать","离开","uekhat","A1","ru"
"ужин","晚餐","uzhin","A1","ru"
"ужинать","吃晚餐","uzhinat","A1","ru"
"Украина","乌克兰","Ukraina","A1","ru"
"украинец","乌克兰人","ukrayinets","A1","ru"
"украинский","乌克兰语","ukrayinskiy","A1","ru"
"улица","街道","ulitsa","A1","ru"
"уметь","会","umet","A1","ru"
"умирать","死","umirat","A1","ru"
"умный","聪明的","umnyy","A1","ru"
"умываться","洗脸","umyvat sya","A1","ru"
"университет","大学","universitet","A1","ru"
"урок","课","urok","A1","ru"
"ученик","学生","uchenik","A1","ru"
"учитель","老师","uchitel","A1","ru"
"учительница","女老师","uchitel nitsa","A1","ru"
"учить","学","uchit","A1","ru"
"учиться","学习","uchit sya","A1","ru"
"фамилия","姓","familiya","A1","ru"
"февраль","二月","fevral","A1","ru"
"фильм","电影","film","A1","ru"
"финн","芬兰人","finn","A1","ru"
"финский","芬兰语","finskiy","A1","ru"
"фиолетовый","紫色","fioletovyy","A1","ru"
"фото","照片","foto","A1","ru"
"фотография","照片","fotografiya","A1","ru"
"Франция","法国","Frantsiya","A1","ru"
"француз","法国人","frantsuz","A1","ru"
"французский","法语","frantsuzskiy","A1","ru"
"фрукт","水果","frukt","A1","ru"
"футбол","足球","futbol","A1","ru"
"хлеб","面包","khleb","A1","ru"
"ходить","走","khodit","A1","ru"
"хоккей","冰球","khokkey","A1","ru"
"холод","冷","kholod","A1","ru"
"холодильник","冰箱","kholodilnik","A1","ru"
"холодный","冷的","kholodnyy","A1","ru"
"хороший","好的","khoroshiy","A1","ru"
"хорошо","好","khorosho","A1","ru"
"хотеть","想要","khotet","A1","ru"
"цвет","颜色","tsvet","A1","ru"
"цена","价格","tsena","A1","ru"
"чай","茶","chay","A1","ru"
"чайник","茶壶","chaynik","A1","ru"
"чайный","茶的","chaynyy","A1","ru"
"час","小时","chas","A1","ru"
"часть","部分","chast","A1","ru"
"часы","手表","chasy","A1","ru"
"чашка","杯子","chashka","A1","ru"
"человек","人","chelovek","A1","ru"
"чемодан","行李箱","chemodan","A1","ru"
"чемпион","冠军","chempion","A1","ru"
"черный","黑色","chernyy","A1","ru"
"чеснок","大蒜","chesnok","A1","ru"
"четверг","星期四","chetverg","A1","ru"
"четыре","四","chetyre","A1","ru"
"четыреста","四百","chetyresta","A1","ru"
"четырнадцать","十四","chetyrnadtsat","A1","ru"
"число","数字","chislo","A1","ru"
"читать","读","chitat","A1","ru"
"чтение","阅读","chteniye","A1","ru"
"что","什么","chto","A1","ru"
"шампунь","洗发水","shampun","A1","ru"
"шапка","帽子","shapka","A1","ru"
"шестнадцать","十六","shestnadtsat","A1","ru"
"шесть","六","shest","A1","ru"
"шестьдесят","六十","shestdesyat","A1","ru"
"шестьсот","六百","shestsot","A1","ru"
"шкаф","柜子","shkaf","A1","ru"
"школа","学校","shkola","A1","ru"
"шоколад","巧克力","shokolad","A1","ru"
"штраф","罚款","shtraf","A1","ru"
"шутка","笑话","shutka","A1","ru"
"экзамен","考试","ekzamen","A1","ru"
"экран","屏幕","ekran","A1","ru"
"электрический","电的","elektricheskiy","A1","ru"
"электричество","电","elektrichestvo","A1","ru"
"эскалатор","电梯","eskalator","A1","ru"
"эта","这个","eta","A1","ru"
"этаж","楼层","etazh","A1","ru"
"эти","这些","eti","A1","ru"
"это","这个","eto","A1","ru"
"этот","这个","etot","A1","ru"
"юбка","裙子","yubka","A1","ru"
"юг","南","yug","A1","ru"
"я","我","ya","A1","ru"
"яблоко","苹果","yabloko","A1","ru"
"язык","语言","yazyk","A1","ru"
"яйцо","鸡蛋","yaytso","A1","ru"
"январь","一月","yanvar","A1","ru"
"японец","日本人","yaponets","A1","ru"
"японский","日语","yaponskiy","A1","ru"
